City_ID,City,Lat,Lng,Max Temp (F),Humidity,Cloudiness,Wind Speed,Country,Date
0,yellowknife,62.456,-114.3525,10.42,98,96,3.62,CA,1706476091
1,grytviken,-54.2811,-36.5092,43.11,80,16,17.65,GS,1706476091
2,port-aux-francais,-49.35,70.2167,41.02,68,87,29.97,TF,1706475534
3,walvis bay,-22.9575,14.5053,67.08,79,100,7.58,NA,1706475674
4,longyearbyen,78.2186,15.6401,13.84,79,0,6.91,SJ,1706476092
5,vilhena,-12.7406,-60.1458,80.82,69,75,9.22,BR,1706475809
6,edinburgh of the seven seas,-37.0676,-12.3116,60.44,73,52,12.73,SH,1706476092
7,qaqortoq,60.7167,-46.0333,-9.63,64,16,10.54,GL,1706476093
8,labytnangi,66.6572,66.4183,-6.0,99,100,4.05,RU,1706476093
9,bolobo,-2.1667,16.2333,80.15,54,100,3.27,CD,1706476093
10,flying fish cove,-10.4217,105.6791,80.28,89,75,3.44,CX,1706475700
11,quepos,9.4236,-84.1652,85.1,74,94,4.83,CR,1706476094
12,tazovsky,67.4667,78.7,0.25,97,100,9.35,RU,1706476094
13,galesong,-5.3166,119.3661,75.22,84,88,5.66,ID,1706476095
14,lakeview,42.432,-75.8655,33.94,97,100,3.0,US,1706476095
15,ebon,4.582,168.6964,81.23,70,100,12.8,MH,1706476095
16,ribeira grande,38.5167,-28.7,59.4,63,75,13.8,PT,1706476096
17,'ain el hadjar,34.7585,0.1453,56.62,19,86,8.41,DZ,1706476096
18,itoman,26.1247,127.6694,57.97,64,0,4.61,JP,1706476096
19,invercargill,-46.4,168.35,60.03,91,6,5.01,NZ,1706476097
20,punta arenas,-53.15,-70.9167,62.71,48,75,18.41,CL,1706476097
21,coutras,45.0333,-0.1333,50.68,84,80,10.56,FR,1706476097
22,geraldton,-28.7667,114.6,64.81,82,2,12.66,AU,1706475910
23,ushuaia,-54.8,-68.3,60.46,41,20,12.66,AR,1706476098
24,college,64.8569,-147.8028,-31.11,70,75,0.0,US,1706475601
25,pembroke,45.8168,-77.1162,36.18,73,100,3.31,CA,1706476099
26,hawaiian paradise park,19.5933,-154.9731,83.71,66,0,5.75,US,1706475957
27,petropavlovsk-kamchatsky,53.0452,158.6483,14.45,87,20,8.95,RU,1706476100
28,mutuali,-14.8706,37.0044,71.58,79,55,2.53,MZ,1706476100
29,kingston,17.997,-76.7936,81.21,77,75,19.57,JM,1706475816
30,tiksi,71.6872,128.8694,-8.73,80,97,11.81,RU,1706476100
31,puerto ayora,-0.7393,-90.3518,87.76,72,100,9.15,EC,1706476101
32,iqaluit,63.7506,-68.5145,-34.31,59,100,15.99,CA,1706476101
33,san patricio,28.017,-97.5169,69.75,36,0,8.12,US,1706476101
34,tam ky,15.5667,108.4833,67.96,92,100,1.41,VN,1706475891
